from_concept,to_concept,weight
Gene,Software,1
Gene,Telecommunications,1
Gene,Voltage,1
Memristor,Neural dynamics and brain function,1
Memristor,Programming language,1
Memristor,Resistive random-access memory,1
Memristor,Robustness (evolution),1
Memristor,Software,1
Memristor,Telecommunications,1
Memristor,Voltage,1
Neural dynamics and brain function,Resistive random-access memory,1
Neural dynamics and brain function,Robustness (evolution),2
Neural dynamics and brain function,Software,1
Neural dynamics and brain function,Telecommunications,1
Neural dynamics and brain function,Voltage,1
Programming language,Resistive random-access memory,1
Programming language,Telecommunications,1
Programming language,Voltage,1
Resistive random-access memory,Robustness (evolution),1
Resistive random-access memory,Software,1
Resistive random-access memory,Telecommunications,1
Resistive random-access memory,Voltage,1
Robustness (evolution),Software,1
Robustness (evolution),Telecommunications,1
Robustness (evolution),Voltage,1
Software,Telecommunications,1
Software,Voltage,1
Telecommunications,Voltage,1
Adaptive neuro fuzzy inference system,Algorithm,1
Adaptive neuro fuzzy inference system,Artificial intelligence,1
Adaptive neuro fuzzy inference system,Artificial neural network,1
Adaptive neuro fuzzy inference system,Computer science,1
Adaptive neuro fuzzy inference system,Extreme learning machine,1
Adaptive neuro fuzzy inference system,Feature (linguistics),1
Adaptive neuro fuzzy inference system,Fitness function,1
Adaptive neuro fuzzy inference system,Fuzzy Logic and Control Systems,1
Adaptive neuro fuzzy inference system,Fuzzy control system,1
Adaptive neuro fuzzy inference system,Fuzzy logic,1
Adaptive neuro fuzzy inference system,Genetic algorithm,1
Adaptive neuro fuzzy inference system,Industrial Vision Systems and Defect Detection,1
Adaptive neuro fuzzy inference system,Inference,1
Adaptive neuro fuzzy inference system,Linguistics,1
Adaptive neuro fuzzy inference system,Machine learning,1
Adaptive neuro fuzzy inference system,Mathematics,1
Adaptive neuro fuzzy inference system,Mean squared error,1
Adaptive neuro fuzzy inference system,Neural Networks and Applications,1
Adaptive neuro fuzzy inference system,Philosophy,1
Adaptive neuro fuzzy inference system,Statistics,1
Algorithm,Extreme learning machine,1
Algorithm,Feature (linguistics),1
Algorithm,Fitness function,1
Algorithm,Fuzzy Logic and Control Systems,1
Algorithm,Fuzzy control system,1
Algorithm,Fuzzy logic,1
Algorithm,Genetic algorithm,1
Algorithm,Industrial Vision Systems and Defect Detection,3
Algorithm,Inference,2
Algorithm,Linguistics,1
Algorithm,Mean squared error,1
Algorithm,Neural Networks and Applications,1
Algorithm,Philosophy,1
Algorithm,Statistics,2
Artificial intelligence,Extreme learning machine,1
Artificial intelligence,Feature (linguistics),4
Artificial intelligence,Fitness function,1
Artificial intelligence,Fuzzy Logic and Control Systems,1
Artificial intelligence,Fuzzy control system,1
Artificial intelligence,Genetic algorithm,1
Artificial intelligence,Mean squared error,1
Artificial neural network,Extreme learning machine,1
Artificial neural network,Feature (linguistics),1
Artificial neural network,Fitness function,1
Artificial neural network,Fuzzy Logic and Control Systems,1
Artificial neural network,Fuzzy control system,1
Artificial neural network,Genetic algorithm,1
Artificial neural network,Industrial Vision Systems and Defect Detection,3
Artificial neural network,Inference,1
Artificial neural network,Linguistics,3
Artificial neural network,Mean squared error,1
Artificial neural network,Statistics,4
Computer science,Extreme learning machine,1
Computer science,Feature (linguistics),4
Computer science,Fitness function,1
Computer science,Fuzzy Logic and Control Systems,1
Computer science,Fuzzy control system,1
Computer science,Genetic algorithm,1
Computer science,Mean squared error,1
Extreme learning machine,Feature (linguistics),1
Extreme learning machine,Fitness function,1
Extreme learning machine,Fuzzy Logic and Control Systems,1
Extreme learning machine,Fuzzy control system,1
Extreme learning machine,Fuzzy logic,1
Extreme learning machine,Genetic algorithm,1
Extreme learning machine,Industrial Vision Systems and Defect Detection,1
Extreme learning machine,Inference,1
Extreme learning machine,Linguistics,1
Extreme learning machine,Machine learning,1
Extreme learning machine,Mathematics,1
Extreme learning machine,Mean squared error,1
Extreme learning machine,Neural Networks and Applications,1
Extreme learning machine,Philosophy,1
Extreme learning machine,Statistics,1
Feature (linguistics),Fitness function,1
Feature (linguistics),Fuzzy Logic and Control Systems,1
Feature (linguistics),Fuzzy control system,1
Feature (linguistics),Fuzzy logic,1
Feature (linguistics),Genetic algorithm,1
Feature (linguistics),Industrial Vision Systems and Defect Detection,1
Feature (linguistics),Inference,1
Feature (linguistics),Linguistics,4
Feature (linguistics),Machine learning,2
Feature (linguistics),Mathematics,1
Feature (linguistics),Mean squared error,1
Feature (linguistics),Neural Networks and Applications,1
Feature (linguistics),Philosophy,4
Feature (linguistics),Statistics,1
Fitness function,Fuzzy Logic and Control Systems,1
Fitness function,Fuzzy control system,1
Fitness function,Fuzzy logic,1
Fitness function,Genetic algorithm,1
Fitness function,Industrial Vision Systems and Defect Detection,1
Fitness function,Inference,1
Fitness function,Linguistics,1
Fitness function,Machine learning,1
Fitness function,Mathematics,1
Fitness function,Mean squared error,1
Fitness function,Neural Networks and Applications,1
Fitness function,Philosophy,1
Fitness function,Statistics,1
Fuzzy Logic and Control Systems,Fuzzy control system,1
Fuzzy Logic and Control Systems,Fuzzy logic,1
Fuzzy Logic and Control Systems,Genetic algorithm,1
Fuzzy Logic and Control Systems,Industrial Vision Systems and Defect Detection,1
Fuzzy Logic and Control Systems,Inference,1
Fuzzy Logic and Control Systems,Linguistics,1
Fuzzy Logic and Control Systems,Machine learning,1
Fuzzy Logic and Control Systems,Mathematics,1
Fuzzy Logic and Control Systems,Mean squared error,1
Fuzzy Logic and Control Systems,Neural Networks and Applications,1
Fuzzy Logic and Control Systems,Philosophy,1
Fuzzy Logic and Control Systems,Statistics,1
Fuzzy control system,Fuzzy logic,1
Fuzzy control system,Genetic algorithm,1
Fuzzy control system,Industrial Vision Systems and Defect Detection,1
Fuzzy control system,Inference,1
Fuzzy control system,Linguistics,1
Fuzzy control system,Machine learning,1
Fuzzy control system,Mathematics,1
Fuzzy control system,Mean squared error,1
Fuzzy control system,Neural Networks and Applications,1
Fuzzy control system,Philosophy,1
Fuzzy control system,Statistics,1
Fuzzy logic,Genetic algorithm,1
Fuzzy logic,Industrial Vision Systems and Defect Detection,1
Fuzzy logic,Inference,1
Fuzzy logic,Linguistics,1
Fuzzy logic,Mathematics,1
Fuzzy logic,Mean squared error,1
Fuzzy logic,Neural Networks and Applications,1
Fuzzy logic,Philosophy,1
Fuzzy logic,Statistics,1
Genetic algorithm,Industrial Vision Systems and Defect Detection,1
Genetic algorithm,Inference,1
Genetic algorithm,Linguistics,1
Genetic algorithm,Machine learning,1
Genetic algorithm,Mathematics,1
Genetic algorithm,Mean squared error,1
Genetic algorithm,Neural Networks and Applications,1
Genetic algorithm,Philosophy,1
Genetic algorithm,Statistics,1
Industrial Vision Systems and Defect Detection,Inference,1
Industrial Vision Systems and Defect Detection,Linguistics,1
Industrial Vision Systems and Defect Detection,Mean squared error,1
Industrial Vision Systems and Defect Detection,Neural Networks and Applications,1
Industrial Vision Systems and Defect Detection,Philosophy,1
Industrial Vision Systems and Defect Detection,Statistics,1
Inference,Linguistics,1
Inference,Mathematics,2
Inference,Mean squared error,1
Inference,Neural Networks and Applications,1
Inference,Philosophy,1
Inference,Statistics,2
Linguistics,Mean squared error,1
Linguistics,Neural Networks and Applications,1
Machine learning,Mean squared error,1
Machine learning,Neural Networks and Applications,3
Mathematics,Mean squared error,1
Mathematics,Neural Networks and Applications,3
Mean squared error,Neural Networks and Applications,1
Mean squared error,Philosophy,1
Mean squared error,Statistics,1
Neural Networks and Applications,Philosophy,1
Neural Networks and Applications,Statistics,3
AI in Service Interactions,Advertising,1
AI in Service Interactions,Advertising campaign,1
AI in Service Interactions,Agency (philosophy),1
AI in Service Interactions,Data mining,1
AI in Service Interactions,Digital advertising,1
AI in Service Interactions,Digital marketing,1
AI in Service Interactions,Finance,1
AI in Service Interactions,Implementation,1
AI in Service Interactions,Marketing,2
AI in Service Interactions,Online advertising,1
AI in Service Interactions,Order (exchange),1
AI in Service Interactions,Relation (database),1
AI in Service Interactions,The Internet,1
AI in Service Interactions,World Wide Web,1
Advertising,Advertising campaign,1
Advertising,Agency (philosophy),1
Advertising,Artificial Intelligence in Healthcare and Education,1
Advertising,Artificial intelligence,1
Advertising,Business,1
Advertising,Computer science,1
Advertising,Data mining,1
Advertising,Digital advertising,1
Advertising,Digital marketing,1
Advertising,Ethics and Social Impacts of AI,1
Advertising,Finance,1
Advertising,Generative grammar,1
Advertising,Implementation,1
Advertising,Marketing,1
Advertising,Online advertising,1
Advertising,Operating system,1
Advertising,Order (exchange),1
Advertising,Process (computing),1
Advertising,Programming language,1
Advertising,Relation (database),1
Advertising,Social science,1
Advertising,Sociology,1
Advertising,The Internet,1
Advertising,World Wide Web,1
Advertising campaign,Agency (philosophy),1
Advertising campaign,Artificial Intelligence in Healthcare and Education,1
Advertising campaign,Artificial intelligence,1
Advertising campaign,Business,1
Advertising campaign,Computer science,1
Advertising campaign,Data mining,1
Advertising campaign,Digital advertising,1
Advertising campaign,Digital marketing,1
Advertising campaign,Ethics and Social Impacts of AI,1
Advertising campaign,Finance,1
Advertising campaign,Generative grammar,1
Advertising campaign,Implementation,1
Advertising campaign,Marketing,1
Advertising campaign,Online advertising,1
Advertising campaign,Operating system,1
Advertising campaign,Order (exchange),1
Advertising campaign,Process (computing),1
Advertising campaign,Programming language,1
Advertising campaign,Relation (database),1
Advertising campaign,Social science,1
Advertising campaign,Sociology,1
Advertising campaign,The Internet,1
Advertising campaign,World Wide Web,1
Agency (philosophy),Artificial Intelligence in Healthcare and Education,2
Agency (philosophy),Artificial intelligence,2
Agency (philosophy),Business,2
Agency (philosophy),Computer science,2
Agency (philosophy),Data mining,1
Agency (philosophy),Digital advertising,1
Agency (philosophy),Digital marketing,1
Agency (philosophy),Ethics and Social Impacts of AI,2
Agency (philosophy),Finance,1
Agency (philosophy),Generative grammar,1
Agency (philosophy),Implementation,1
Agency (philosophy),Marketing,1
Agency (philosophy),Online advertising,1
Agency (philosophy),Operating system,1
Agency (philosophy),Order (exchange),1
Agency (philosophy),Process (computing),1
Agency (philosophy),Programming language,1
Agency (philosophy),Relation (database),1
Agency (philosophy),Social science,1
Agency (philosophy),Sociology,1
Agency (philosophy),The Internet,1
Agency (philosophy),World Wide Web,1
Artificial Intelligence in Healthcare and Education,Digital advertising,1
Artificial Intelligence in Healthcare and Education,Digital marketing,1
Artificial Intelligence in Healthcare and Education,Finance,2
Artificial Intelligence in Healthcare and Education,Implementation,1
Artificial Intelligence in Healthcare and Education,Marketing,2
Artificial Intelligence in Healthcare and Education,Online advertising,1
Artificial Intelligence in Healthcare and Education,Order (exchange),2
Artificial Intelligence in Healthcare and Education,Process (computing),3
Artificial Intelligence in Healthcare and Education,Relation (database),1
Artificial Intelligence in Healthcare and Education,The Internet,2
Artificial intelligence,Digital advertising,1
Artificial intelligence,Digital marketing,1
Artificial intelligence,Online advertising,2
Artificial intelligence,Order (exchange),2
Artificial intelligence,Relation (database),1
Artificial intelligence,The Internet,6
Business,Digital advertising,1
Business,Digital marketing,1
Business,Generative grammar,1
Business,Implementation,1
Business,Online advertising,2
Business,Order (exchange),2
Business,Relation (database),1
Business,Social science,1
Business,The Internet,2
Business,World Wide Web,2
Computer science,Digital advertising,1
Computer science,Digital marketing,1
Computer science,Online advertising,2
Computer science,Order (exchange),2
Computer science,Relation (database),1
Data mining,Digital advertising,1
Data mining,Digital marketing,1
Data mining,Ethics and Social Impacts of AI,1
Data mining,Generative grammar,1
Data mining,Implementation,1
Data mining,Marketing,2
Data mining,Online advertising,2
Data mining,Operating system,5
Data mining,Order (exchange),1
Data mining,Process (computing),4
Data mining,Relation (database),1
Data mining,The Internet,2
Digital advertising,Digital marketing,1
Digital advertising,Ethics and Social Impacts of AI,1
Digital advertising,Finance,1
Digital advertising,Generative grammar,1
Digital advertising,Implementation,1
Digital advertising,Marketing,1
Digital advertising,Online advertising,1
Digital advertising,Operating system,1
Digital advertising,Order (exchange),1
Digital advertising,Process (computing),1
Digital advertising,Programming language,1
Digital advertising,Relation (database),1
Digital advertising,Social science,1
Digital advertising,Sociology,1
Digital advertising,The Internet,1
Digital advertising,World Wide Web,1
Digital marketing,Ethics and Social Impacts of AI,1
Digital marketing,Finance,1
Digital marketing,Generative grammar,1
Digital marketing,Implementation,1
Digital marketing,Marketing,1
Digital marketing,Online advertising,1
Digital marketing,Operating system,1
Digital marketing,Order (exchange),1
Digital marketing,Process (computing),1
Digital marketing,Programming language,1
Digital marketing,Relation (database),1
Digital marketing,Social science,1
Digital marketing,Sociology,1
Digital marketing,The Internet,1
Digital marketing,World Wide Web,1
Ethics and Social Impacts of AI,Implementation,1
Ethics and Social Impacts of AI,Marketing,1
Ethics and Social Impacts of AI,Online advertising,1
Ethics and Social Impacts of AI,Order (exchange),1
Ethics and Social Impacts of AI,Programming language,2
Ethics and Social Impacts of AI,Relation (database),1
Finance,Generative grammar,1
Finance,Implementation,1
Finance,Marketing,2
Finance,Online advertising,1
Finance,Order (exchange),2
Finance,Relation (database),1
Finance,Social science,1
Finance,Sociology,2
Finance,The Internet,1
Finance,World Wide Web,1
Generative grammar,Implementation,1
Generative grammar,Marketing,1
Generative grammar,Online advertising,1
Generative grammar,Operating system,4
Generative grammar,Order (exchange),1
Generative grammar,Process (computing),3
Generative grammar,Programming language,1
Generative grammar,Relation (database),1
Generative grammar,Social science,1
Generative grammar,The Internet,1
Generative grammar,World Wide Web,1
Implementation,Marketing,1
Implementation,Online advertising,1
Implementation,Operating system,1
Implementation,Order (exchange),1
Implementation,Process (computing),1
Implementation,Relation (database),1
Implementation,Social science,1
Implementation,Sociology,1
Implementation,The Internet,1
Implementation,World Wide Web,1
Marketing,Online advertising,1
Marketing,Order (exchange),1
Marketing,Programming language,1
Marketing,Relation (database),1
Marketing,Social science,1
Marketing,Sociology,2
Marketing,The Internet,1
Marketing,World Wide Web,1
Online advertising,Operating system,1
Online advertising,Order (exchange),1
Online advertising,Process (computing),1
Online advertising,Programming language,1
Online advertising,Relation (database),1
Online advertising,Social science,1
Online advertising,Sociology,1
Online advertising,The Internet,2
Online advertising,World Wide Web,2
Operating system,Order (exchange),1
Operating system,Programming language,4
Operating system,Relation (database),1
Operating system,The Internet,1
Operating system,World Wide Web,1
Order (exchange),Process (computing),1
Order (exchange),Programming language,1
Order (exchange),Relation (database),1
Order (exchange),Social science,1
Order (exchange),Sociology,2
Order (exchange),The Internet,1
Order (exchange),World Wide Web,1
Process (computing),Programming language,4
Process (computing),Relation (database),1
Process (computing),Social science,1
Process (computing),Sociology,1
Process (computing),The Internet,1
Process (computing),World Wide Web,1
Programming language,Relation (database),1
Programming language,The Internet,1
Programming language,World Wide Web,1
Relation (database),Social science,1
Relation (database),Sociology,1
Relation (database),The Internet,1
Relation (database),World Wide Web,1
Social science,The Internet,1
Social science,World Wide Web,1
Art,Cognitive psychology,1
Art,Deliberation,1
Art,"Neuroethics, Human Enhancement, Biomedical Innovations",2
Art,Psychology,2
Art,Psychology of Moral and Emotional Judgment,1
Cognitive psychology,Deliberation,1
Cognitive psychology,Law,1
Cognitive psychology,Literature,1
Cognitive psychology,"Neuroethics, Human Enhancement, Biomedical Innovations",1
Cognitive psychology,Performing arts,1
Cognitive psychology,Political science,1
Cognitive psychology,Politics,1
Cognitive psychology,Psychology of Moral and Emotional Judgment,1
Deliberation,Epistemology,1
Deliberation,Ethics and Social Impacts of AI,1
Deliberation,Law,1
Deliberation,Literature,1
Deliberation,"Neuroethics, Human Enhancement, Biomedical Innovations",1
Deliberation,Performing arts,1
Deliberation,Philosophy,1
Deliberation,Political science,1
Deliberation,Politics,1
Deliberation,Psychology,1
Deliberation,Psychology of Moral and Emotional Judgment,1
Epistemology,Politics,3
Law,Performing arts,2
Literature,"Neuroethics, Human Enhancement, Biomedical Innovations",2
Literature,Psychology,2
Literature,Psychology of Moral and Emotional Judgment,1
"Neuroethics, Human Enhancement, Biomedical Innovations",Performing arts,2
"Neuroethics, Human Enhancement, Biomedical Innovations",Politics,2
Performing arts,Political science,2
Performing arts,Politics,2
Performing arts,Psychology,2
Performing arts,Psychology of Moral and Emotional Judgment,1
Philosophy,Politics,3
Artificial Intelligence in Healthcare and Education,Biomedicine,1
Artificial Intelligence in Healthcare and Education,Genetics,1
Artificial Intelligence in Healthcare and Education,Key (lock),1
Artificial Intelligence in Healthcare and Education,Manifesto,1
Artificial intelligence,Biomedicine,1
Artificial intelligence,Genetics,1
Artificial intelligence,Manifesto,1
Biology,Biomedicine,1
Biology,Genetics,1
Biology,Machine Learning in Healthcare,2
Biology,Manifesto,1
Biomedicine,Computer science,1
Biomedicine,Computer security,1
Biomedicine,Data science,1
Biomedicine,Domain (mathematical analysis),1
Biomedicine,Explainable Artificial Intelligence (XAI),1
Biomedicine,Field (mathematics),1
Biomedicine,Genetics,1
Biomedicine,Key (lock),1
Biomedicine,Law,1
Biomedicine,Machine Learning in Healthcare,1
Biomedicine,Manifesto,1
Biomedicine,Mathematical analysis,1
Biomedicine,Mathematics,1
Biomedicine,Political science,1
Biomedicine,Pure mathematics,1
Computer science,Genetics,1
Computer science,Manifesto,1
Computer security,Genetics,1
Computer security,Machine Learning in Healthcare,1
Computer security,Manifesto,1
Data science,Genetics,1
Data science,Manifesto,1
Domain (mathematical analysis),Genetics,1
Domain (mathematical analysis),Key (lock),2
Domain (mathematical analysis),Manifesto,1
Explainable Artificial Intelligence (XAI),Genetics,1
Explainable Artificial Intelligence (XAI),Manifesto,1
Field (mathematics),Genetics,1
Field (mathematics),Key (lock),1
Field (mathematics),Machine Learning in Healthcare,1
Field (mathematics),Manifesto,1
Genetics,Key (lock),1
Genetics,Law,1
Genetics,Machine Learning in Healthcare,1
Genetics,Manifesto,1
Genetics,Mathematical analysis,1
Genetics,Mathematics,1
Genetics,Political science,1
Genetics,Pure mathematics,1
Key (lock),Machine Learning in Healthcare,1
Key (lock),Manifesto,1
Key (lock),Mathematical analysis,2
Key (lock),Mathematics,2
Key (lock),Pure mathematics,1
Law,Manifesto,1
Machine Learning in Healthcare,Manifesto,1
Machine Learning in Healthcare,Pure mathematics,1
Manifesto,Mathematical analysis,1
Manifesto,Mathematics,1
Manifesto,Political science,1
Manifesto,Pure mathematics,1
Cognition,Curriculum,1
Cognition,Literacy,1
Cognition,Misinformation and Its Impacts,1
Cognition,Pedagogy,1
Cognition,Teaching and Learning Programming,1
Cognitive science,Curriculum,1
Cognitive science,Educational Games and Gamification,2
Cognitive science,Literacy,1
Cognitive science,Mathematics education,2
Cognitive science,Misinformation and Its Impacts,1
Cognitive science,Pedagogy,1
Cognitive science,Teaching and Learning Programming,1
Curriculum,Misinformation and Its Impacts,1
Educational Games and Gamification,Misinformation and Its Impacts,1
Literacy,Misinformation and Its Impacts,1
Mathematics education,Misinformation and Its Impacts,1
Misinformation and Its Impacts,Neuroscience,1
Misinformation and Its Impacts,Pedagogy,1
Misinformation and Its Impacts,Psychology,1
Misinformation and Its Impacts,Teaching and Learning Programming,1
Neuroscience,Teaching and Learning Programming,1
Computer science,Series (stratigraphy),3
Computer science,Time series,4
Data mining,Geology,2
Data mining,Machine Learning in Healthcare,5
Data mining,Series (stratigraphy),2
Data mining,Time Series Analysis and Forecasting,2
Data mining,Time series,3
Data science,Series (stratigraphy),1
Data science,Time series,1
Explainable Artificial Intelligence (XAI),Geology,1
Explainable Artificial Intelligence (XAI),Series (stratigraphy),1
Explainable Artificial Intelligence (XAI),Time Series Analysis and Forecasting,1
Explainable Artificial Intelligence (XAI),Time series,1
Geology,Machine Learning in Healthcare,1
Geology,Paleontology,2
Geology,Series (stratigraphy),1
Geology,Time Series Analysis and Forecasting,1
Geology,Time series,1
Machine Learning in Healthcare,Paleontology,1
Machine Learning in Healthcare,Series (stratigraphy),1
Machine Learning in Healthcare,Time Series Analysis and Forecasting,2
Machine Learning in Healthcare,Time series,1
Machine learning,Series (stratigraphy),3
Machine learning,Time Series Analysis and Forecasting,4
Machine learning,Time series,4
Paleontology,Series (stratigraphy),3
Paleontology,Time Series Analysis and Forecasting,2
Paleontology,Time series,3
Series (stratigraphy),Time Series Analysis and Forecasting,2
Series (stratigraphy),Time series,3
Time Series Analysis and Forecasting,Time series,2
Adaptability,Artificial intelligence,2
Adaptability,Artificial neural network,2
Adaptability,Biology,2
Adaptability,Computer science,2
Adaptability,Data science,1
Adaptability,Deep learning,2
Adaptability,Ecology,2
Adaptability,Engineering,1
Adaptability,Fault Detection and Control Systems,1
Adaptability,Machine Fault Diagnosis Techniques,1
Adaptability,Machine learning,2
Adaptability,Predictive maintenance,1
Adaptability,Reliability and Maintenance Optimization,1
Adaptability,Reliability engineering,1
Adaptability,Systems engineering,1
Adaptability,Task (project management),1
Adaptability,Variety (cybernetics),1
Artificial intelligence,Machine Fault Diagnosis Techniques,2
Artificial intelligence,Predictive maintenance,1
Artificial intelligence,Reliability and Maintenance Optimization,1
Artificial intelligence,Reliability engineering,1
Artificial intelligence,Systems engineering,4
Artificial neural network,Machine Fault Diagnosis Techniques,2
Artificial neural network,Predictive maintenance,1
Artificial neural network,Reliability and Maintenance Optimization,1
Artificial neural network,Reliability engineering,1
Artificial neural network,Systems engineering,2
Biology,Fault Detection and Control Systems,2
Biology,Machine Fault Diagnosis Techniques,1
Biology,Predictive maintenance,1
Biology,Reliability and Maintenance Optimization,1
Biology,Reliability engineering,1
Biology,Systems engineering,1
Computer science,Machine Fault Diagnosis Techniques,2
Computer science,Predictive maintenance,1
Computer science,Reliability and Maintenance Optimization,1
Computer science,Reliability engineering,1
Computer science,Systems engineering,4
Data science,Machine Fault Diagnosis Techniques,1
Data science,Predictive maintenance,1
Data science,Reliability and Maintenance Optimization,1
Data science,Reliability engineering,1
Data science,Systems engineering,1
Data science,Task (project management),2
Deep learning,Ecology,2
Deep learning,Machine Fault Diagnosis Techniques,1
Deep learning,Predictive maintenance,1
Deep learning,Reliability and Maintenance Optimization,1
Deep learning,Reliability engineering,1
Deep learning,Systems engineering,3
Ecology,Fault Detection and Control Systems,1
Ecology,Machine Fault Diagnosis Techniques,1
Ecology,Predictive maintenance,1
Ecology,Reliability and Maintenance Optimization,1
Ecology,Reliability engineering,1
Ecology,Systems engineering,1
Ecology,Task (project management),1
Ecology,Variety (cybernetics),1
Engineering,Machine Fault Diagnosis Techniques,1
Engineering,Predictive maintenance,1
Engineering,Reliability and Maintenance Optimization,1
Engineering,Reliability engineering,1
Engineering,Systems engineering,4
Engineering,Task (project management),5
Fault Detection and Control Systems,Machine Fault Diagnosis Techniques,1
Fault Detection and Control Systems,Predictive maintenance,1
Fault Detection and Control Systems,Reliability and Maintenance Optimization,1
Fault Detection and Control Systems,Reliability engineering,1
Fault Detection and Control Systems,Systems engineering,1
Fault Detection and Control Systems,Task (project management),1
Fault Detection and Control Systems,Variety (cybernetics),1
Machine Fault Diagnosis Techniques,Machine learning,1
Machine Fault Diagnosis Techniques,Predictive maintenance,1
Machine Fault Diagnosis Techniques,Reliability and Maintenance Optimization,1
Machine Fault Diagnosis Techniques,Reliability engineering,1
Machine Fault Diagnosis Techniques,Systems engineering,1
Machine Fault Diagnosis Techniques,Task (project management),1
Machine Fault Diagnosis Techniques,Variety (cybernetics),1
Machine learning,Predictive maintenance,1
Machine learning,Reliability and Maintenance Optimization,1
Machine learning,Reliability engineering,1
Machine learning,Systems engineering,3
Predictive maintenance,Reliability and Maintenance Optimization,1
Predictive maintenance,Reliability engineering,1
Predictive maintenance,Systems engineering,1
Predictive maintenance,Task (project management),1
Predictive maintenance,Variety (cybernetics),1
Reliability and Maintenance Optimization,Reliability engineering,1
Reliability and Maintenance Optimization,Systems engineering,1
Reliability and Maintenance Optimization,Task (project management),1
Reliability and Maintenance Optimization,Variety (cybernetics),1
Reliability engineering,Systems engineering,1
Reliability engineering,Task (project management),1
Reliability engineering,Variety (cybernetics),1
Systems engineering,Task (project management),3
Systems engineering,Variety (cybernetics),1
Task (project management),Variety (cybernetics),1
Artificial intelligence,Cement,1
Artificial intelligence,Compressive strength,1
Artificial intelligence,Infrastructure Maintenance and Monitoring,1
Artificial intelligence,Innovative concrete reinforcement materials,1
Artificial intelligence,Mortar,1
Artificial intelligence,Tunneling and Rock Mechanics,1
Cement,Composite material,1
Cement,Compressive strength,1
Cement,Computational Science and Engineering,1
Cement,Computer science,1
Cement,Infrastructure Maintenance and Monitoring,1
Cement,Innovative concrete reinforcement materials,1
Cement,Machine learning,1
Cement,Materials science,1
Cement,Mortar,1
Cement,Tunneling and Rock Mechanics,1
Composite material,Compressive strength,1
Composite material,Computational Science and Engineering,1
Composite material,Infrastructure Maintenance and Monitoring,1
Composite material,Innovative concrete reinforcement materials,1
Composite material,Mortar,1
Composite material,Tunneling and Rock Mechanics,1
Compressive strength,Computational Science and Engineering,1
Compressive strength,Computer science,1
Compressive strength,Infrastructure Maintenance and Monitoring,1
Compressive strength,Innovative concrete reinforcement materials,1
Compressive strength,Machine learning,1
Compressive strength,Materials science,1
Compressive strength,Mortar,1
Compressive strength,Tunneling and Rock Mechanics,1
Computational Science and Engineering,Infrastructure Maintenance and Monitoring,1
Computational Science and Engineering,Innovative concrete reinforcement materials,1
Computational Science and Engineering,Materials science,1
Computational Science and Engineering,Mortar,1
Computational Science and Engineering,Tunneling and Rock Mechanics,1
Computer science,Infrastructure Maintenance and Monitoring,1
Computer science,Innovative concrete reinforcement materials,1
Computer science,Mortar,1
Computer science,Tunneling and Rock Mechanics,1
Infrastructure Maintenance and Monitoring,Innovative concrete reinforcement materials,1
Infrastructure Maintenance and Monitoring,Machine learning,1
Infrastructure Maintenance and Monitoring,Materials science,1
Infrastructure Maintenance and Monitoring,Mortar,1
Infrastructure Maintenance and Monitoring,Tunneling and Rock Mechanics,1
Innovative concrete reinforcement materials,Machine learning,1
Innovative concrete reinforcement materials,Materials science,1
Innovative concrete reinforcement materials,Mortar,1
Innovative concrete reinforcement materials,Tunneling and Rock Mechanics,1
Machine learning,Mortar,1
Machine learning,Tunneling and Rock Mechanics,1
Materials science,Mortar,1
Materials science,Tunneling and Rock Mechanics,1
Mortar,Tunneling and Rock Mechanics,1
AI and HR Technologies,Art,1
AI and HR Technologies,Artificial intelligence,2
AI and HR Technologies,Aside,1
AI and HR Technologies,Biology,1
AI and HR Technologies,Computer science,2
AI and HR Technologies,Data science,1
AI and HR Technologies,Digital Transformation in Industry,1
AI and HR Technologies,Economic and Technological Systems Analysis,1
AI and HR Technologies,Economics,2
AI and HR Technologies,Engineering,2
AI and HR Technologies,Field (mathematics),1
AI and HR Technologies,Human resource management,1
AI and HR Technologies,Human resources,2
AI and HR Technologies,Knowledge management,2
AI and HR Technologies,Law,1
AI and HR Technologies,Literature,1
AI and HR Technologies,MEDLINE,1
AI and HR Technologies,Management,2
AI and HR Technologies,Mathematics,1
AI and HR Technologies,Operations research,1
AI and HR Technologies,Paleontology,1
AI and HR Technologies,Political science,1
AI and HR Technologies,Pure mathematics,1
AI and HR Technologies,Scientific literature,1
AI and HR Technologies,Scopus,1
AI and HR Technologies,Selection (genetic algorithm),1
AI and HR Technologies,Web of science,1
Art,Digital Transformation in Industry,2
Art,Economic and Technological Systems Analysis,1
Art,Economics,1
Art,Human resource management,1
Art,Human resources,1
Art,MEDLINE,1
Art,Management,1
Art,Scientific literature,1
Art,Scopus,1
Art,Selection (genetic algorithm),1
Art,Web of science,1
Artificial intelligence,Economic and Technological Systems Analysis,1
Artificial intelligence,Human resource management,1
Artificial intelligence,Human resources,2
Artificial intelligence,Scientific literature,1
Artificial intelligence,Selection (genetic algorithm),1
Artificial intelligence,Web of science,1
Aside,Biology,1
Aside,Data science,1
Aside,Digital Transformation in Industry,1
Aside,Economic and Technological Systems Analysis,1
Aside,Economics,1
Aside,Engineering,1
Aside,Field (mathematics),1
Aside,Human resource management,1
Aside,Human resources,1
Aside,Knowledge management,1
Aside,Law,1
Aside,MEDLINE,1
